t_s,alt_m,V_ms,climb_ms,cos_phi_theta,nose_dot_up,wx,wy,wz,freelook
60.40,1473.9,227.09,-28.64,0.9870,-0.1600,-0.0163,0.0007,0.1457,0
60.50,1470.8,227.35,-31.25,0.9869,-0.1602,-0.0143,-0.0010,0.0053,0
60.60,1467.6,227.66,-33.19,0.9869,-0.1602,-0.0132,-0.0009,-0.0403,0
60.70,1464.2,228.00,-34.64,0.9871,-0.1596,0.0287,-0.0068,-0.0459,0
60.80,1460.7,228.36,-35.46,0.9884,-0.1514,0.0459,-0.0632,-0.0745,0
60.90,1457.1,228.73,-35.64,0.9896,-0.1436,0.0739,-0.0873,-0.0928,0
61.00,1453.6,229.12,-35.34,0.9904,-0.1383,0.0250,-0.0134,-0.0435,0
61.10,1450.1,229.51,-34.89,0.9908,-0.1353,0.0117,0.0020,0.0139,0
61.20,1446.6,229.90,-34.42,0.9911,-0.1332,0.0036,0.0043,0.0310,0
61.30,1443.2,230.29,-33.96,0.9914,-0.1311,0.0123,0.0023,0.0254,0
61.40,1439.8,230.67,-33.51,0.9916,-0.1294,-0.0012,0.0023,0.0147,0
61.50,1436.5,231.05,-33.10,0.9917,-0.1283,0.0061,0.0014,0.0052,0
61.60,1433.2,231.43,-32.34,0.9941,-0.1083,0.3275,-0.0727,-0.0919,0
61.70,1430.1,231.79,-29.68,0.9977,-0.0663,0.3154,-0.0187,-0.0862,0
61.80,1427.3,232.13,-25.31,0.9996,-0.0254,0.4970,0.1142,0.0334,0
61.90,1425.1,232.41,-18.96,0.9995,0.0302,0.5043,0.0826,0.0795,0
62.00,1423.7,232.64,-10.62,0.9953,0.0967,0.7101,0.0236,0.1063,0
62.10,1423.2,232.79,-0.27,0.9877,0.1562,0.5461,0.0064,0.0159,0
62.20,1423.7,232.88,10.94,0.9768,0.2138,0.5690,-0.0450,-0.0074,0
62.30,1425.5,232.90,22.91,0.9619,0.2733,0.5395,-0.0647,-0.0100,0
62.40,1428.4,232.86,35.25,0.9452,0.3266,0.5051,-0.0268,0.0264,0
62.50,1432.6,232.77,47.20,0.9324,0.3614,0.2421,-0.0102,-0.0151,0
62.60,1437.9,232.67,57.46,0.9253,0.3791,0.1356,-0.0042,-0.0329,0
62.70,1444.1,232.57,65.74,0.9225,0.3860,-0.0880,-0.0769,-0.0571,0
62.80,1451.0,232.48,71.29,0.9313,0.3639,-0.3936,-0.0902,-0.1220,0
62.90,1458.3,232.41,73.22,0.9442,0.3248,-0.4366,-0.0737,-1.0779,0
63.00,1465.6,232.34,72.16,0.9294,0.2851,-0.4153,-0.1044,-2.2354,0
63.10,1472.6,232.26,69.18,0.8739,0.2462,-0.3783,-0.4453,-0.6063,0
63.20,1479.3,232.17,64.38,0.8850,0.1797,-0.4326,-0.7265,0.1864,0
63.30,1485.4,232.01,57.39,0.8988,0.1189,-0.4351,-0.4537,0.1607,0
63.40,1490.7,231.82,49.00,0.9082,0.0669,-0.4359,-0.3373,0.1113,0
63.50,1495.1,231.64,39.70,0.9136,0.0157,-0.4366,-0.2857,0.0719,0
63.60,1498.5,231.48,29.78,0.9153,-0.0339,-0.4370,-0.2521,0.0418,0
63.70,1500.9,231.37,19.45,0.9140,-0.0818,-0.4372,-0.2391,0.0193,0
63.80,1502.3,231.30,8.85,0.9098,-0.1312,-0.4372,-0.3197,-0.0001,0
63.90,1502.6,231.25,-2.01,0.9026,-0.1817,-0.4369,-0.2412,-0.0209,0
64.00,1501.8,231.24,-13.02,0.8927,-0.2319,-0.4364,-0.3132,-0.0394,0
64.10,1499.9,231.26,-24.15,0.8798,-0.2801,-0.4357,-0.2126,-0.0565,0
64.20,1496.9,231.33,-35.24,0.8647,-0.3251,-0.4348,-0.1978,-0.0629,0
64.30,1492.7,231.46,-46.20,0.8475,-0.3686,-0.4337,-0.1823,-0.0680,0
64.40,1487.5,231.66,-56.97,0.8285,-0.4087,-0.4323,-0.1179,-0.0658,0
64.50,1481.3,231.93,-67.47,0.8081,-0.4464,-0.4308,-0.0855,-0.0587,0
64.60,1474.0,232.28,-77.68,0.7865,-0.4827,-0.4290,-0.0699,-0.0536,0
64.70,1465.7,232.68,-87.60,0.7638,-0.5171,-0.4271,-0.0542,-0.0472,0
64.80,1456.4,233.15,-97.18,0.7415,-0.5467,-0.3167,0.0625,-0.0385,0
64.90,1446.2,233.70,-105.81,0.7296,-0.5557,-0.0864,0.2686,0.0039,0
65.00,1435.2,234.34,-112.20,0.7600,-0.5293,0.3547,0.4026,1.0725,0
65.10,1423.8,235.05,-115.07,0.8210,-0.4901,0.4514,0.2692,1.2788,0
65.20,1412.3,235.74,-114.30,0.8769,-0.4319,0.5801,0.2390,0.9502,0
65.30,1401.1,236.39,-110.09,0.9151,-0.3747,0.5624,0.1207,0.6053,0
65.40,1390.4,236.97,-103.19,0.9471,-0.3077,0.6947,0.2434,0.7963,0
65.50,1380.6,237.48,-94.04,0.9645,-0.2572,0.3471,0.0583,0.1272,0
65.60,1371.7,237.95,-84.90,0.9725,-0.2293,0.2108,0.0318,0.2698,0
65.70,1363.7,238.41,-76.65,0.9780,-0.2082,0.1829,0.0135,0.2576,0
65.80,1356.4,238.85,-69.30,0.9818,-0.1897,0.1461,0.0065,0.1854,0
65.90,1349.8,239.29,-62.91,0.9837,-0.1784,0.0757,0.0060,0.1151,0
66.00,1343.8,239.71,-57.68,0.9848,-0.1713,0.0449,0.0103,0.0596,0
66.10,1338.3,240.13,-53.50,0.9855,-0.1666,0.0374,0.0099,0.0150,0
66.20,1333.1,240.54,-50.18,0.9862,-0.1622,0.0182,0.0085,-0.0192,0
66.30,1328.2,240.94,-47.56,0.9867,-0.1597,0.0073,0.0068,-0.0400,0
66.40,1323.6,241.33,-45.54,0.9872,-0.1579,0.0005,0.0046,-0.0499,0
66.50,1319.1,241.72,-44.00,0.9875,-0.1567,-0.0042,0.0029,-0.0511,0
66.60,1314.8,242.10,-42.84,0.9877,-0.1559,-0.0074,0.0018,-0.0465,0
66.70,1310.6,242.48,-41.97,0.9878,-0.1553,-0.0096,0.0010,-0.0390,0
66.80,1306.4,242.85,-41.32,0.9879,-0.1549,-0.0112,0.0006,-0.0309,0
66.90,1302.3,243.22,-40.77,0.9888,-0.1495,0.1095,-0.0947,-0.0783,0
67.00,1298.3,243.58,-39.78,0.9903,-0.1386,0.1682,-0.0283,-0.1127,0
67.10,1294.4,243.94,-37.63,0.9945,-0.1039,0.3919,-0.0217,-0.0877,0
67.20,1290.8,244.26,-33.13,0.9986,-0.0469,0.7994,-0.0051,-0.0579,0
67.30,1287.9,244.52,-25.05,0.9992,0.0279,0.7431,0.0020,-0.0268,0
67.40,1286.0,244.69,-14.34,0.9956,0.0891,0.4763,0.0022,-0.0156,0
67.50,1285.2,244.81,-3.08,0.9907,0.1327,0.3663,0.0018,0.0046,0
67.60,1285.5,244.89,7.72,0.9853,0.1684,0.3721,0.0017,0.0209,0
67.70,1286.8,244.95,17.96,0.9792,0.2014,0.2622,0.0001,0.0259,0
67.80,1289.1,244.98,27.17,0.9748,0.2219,0.1503,-0.0008,0.0295,0
67.90,1292.2,244.99,35.09,0.9703,0.2410,0.1515,-0.0010,0.0289,0
68.00,1296.1,244.99,41.98,0.9663,0.2569,0.1196,-0.0011,0.0263,0
68.10,1300.7,244.97,47.85,0.9635,0.2674,0.0680,-0.0011,0.0242,0
68.20,1305.7,244.95,52.61,0.9618,0.2733,0.0020,-0.1193,-0.0060,0
68.30,1311.2,244.91,55.81,0.9660,0.2569,-0.3335,-0.1699,-0.1785,0
68.40,1316.8,244.88,56.11,0.9732,0.2190,-0.4163,-0.1047,-0.8861,0
68.50,1322.3,244.85,53.70,0.9602,0.1790,-0.4060,-0.1429,-1.1818,0
68.60,1327.4,244.81,49.26,0.9647,0.1342,-0.4173,-0.2890,0.1095,0
68.70,1332.0,244.77,43.09,0.9714,0.0905,-0.4180,-0.1949,0.0815,0
68.80,1335.9,244.74,35.72,0.9756,0.0476,-0.4182,-0.1711,0.0530,0
68.90,1339.1,244.72,27.47,0.9775,0.0048,-0.4184,-0.1556,0.0332,0
69.00,1341.3,244.73,18.59,0.9773,-0.0382,-0.4183,-0.1597,0.0187,0
69.10,1342.7,244.77,9.26,0.9752,-0.0807,-0.4182,-0.1528,0.0078,0
69.20,1343.1,244.83,-0.37,0.9711,-0.1226,-0.4179,-0.1558,-0.0006,0
69.30,1342.5,244.94,-10.21,0.9652,-0.1642,-0.4175,-0.0971,-0.0077,0
69.40,1341.0,245.08,-20.17,0.9576,-0.2049,-0.4169,-0.0877,-0.0119,0
69.50,1338.4,245.27,-30.16,0.9483,-0.2443,-0.4161,-0.0455,-0.0129,0
69.60,1334.8,245.51,-40.12,0.9375,-0.2827,-0.3958,-0.0253,-0.0115,0
69.70,1330.3,245.80,-49.64,0.9298,-0.3059,-0.2098,0.0659,-0.0048,0
69.80,1324.9,246.15,-57.83,0.9255,-0.3166,-0.0240,0.1761,0.0089,0
69.90,1318.7,246.56,-64.21,0.9291,-0.3159,0.2215,0.2742,0.5592,0
70.00,1312.1,247.01,-67.48,0.9527,-0.2746,0.5507,0.1565,0.7516,0
70.10,1305.4,247.46,-66.19,0.9737,-0.2161,0.5390,0.0509,0.4958,0
70.20,1299.0,247.87,-61.34,0.9854,-0.1665,0.3609,0.0046,0.2784,0
70.30,1293.2,248.25,-55.21,0.9900,-0.1401,0.1797,-0.0029,0.1453,0
70.40,1288.0,248.61,-49.40,0.9921,-0.1252,0.1054,-0.0013,0.0835,0
70.50,1283.3,248.95,-44.38,0.9933,-0.1157,0.0634,0.0009,0.0515,0
70.60,1279.1,249.29,-40.24,0.9940,-0.1094,0.0373,0.0033,0.0307,0
70.70,1275.3,249.61,-36.90,0.9944,-0.1051,0.0204,0.0035,0.0139,0
70.80,1271.8,249.92,-34.27,0.9947,-0.1022,0.0092,0.0027,0.0007,0
70.90,1268.4,250.23,-32.23,0.9949,-0.1002,0.0016,0.0019,-0.0079,0
71.00,1265.3,250.53,-30.65,0.9951,-0.0989,-0.0036,0.0012,-0.0121,0
71.10,1262.3,250.83,-29.46,0.9952,-0.0979,-0.0072,0.0007,-0.0130,0
71.20,1259.4,251.12,-28.55,0.9953,-0.0972,-0.0097,0.0004,-0.0120,0
71.30,1256.6,251.41,-27.87,0.9953,-0.0968,-0.0114,0.0002,-0.0101,0
71.40,1253.8,251.69,-27.36,0.9953,-0.0964,-0.0126,0.0001,-0.0079,0
71.50,1251.1,251.97,-26.99,0.9954,-0.0962,-0.0134,0.0001,-0.0059,0
71.60,1248.4,252.25,-26.71,0.9954,-0.0960,-0.0140,0.0000,-0.0043,0
71.70,1245.8,252.53,-26.52,0.9954,-0.0959,-0.0155,0.0006,-0.0030,0
71.80,1243.1,252.81,-26.31,0.9960,-0.0895,0.2246,0.0048,-0.0045,0
71.90,1240.6,253.07,-24.46,0.9986,-0.0526,0.4139,-0.0120,-0.0048,0
72.00,1238.4,253.31,-19.30,0.9997,0.0248,0.9673,-0.0272,-0.0759,0
72.10,1237.0,253.44,-8.92,0.9929,0.1185,0.8666,-0.0153,-0.0511,0
72.20,1236.8,253.46,5.10,0.9792,0.2026,0.7292,-0.0053,-0.0011,0
72.30,1238.1,253.39,20.50,0.9646,0.2637,0.5738,0.0073,0.0309,0
72.40,1241.0,253.27,35.36,0.9526,0.3040,0.2725,0.0020,0.0020,0
72.50,1245.2,253.15,47.98,0.9459,0.3245,0.1531,0.0003,0.0058,0
72.60,1250.6,253.03,58.05,0.9422,0.3351,-0.0239,0.2886,0.1038,0
72.70,1256.8,252.91,64.85,0.9486,0.3117,-0.3882,0.6364,1.2301,0
72.80,1263.5,252.77,67.30,0.9398,0.2687,-0.4024,0.6528,0.4067,0
72.90,1270.2,252.57,65.95,0.9510,0.2154,-0.4061,0.7859,-0.1691,0
73.00,1276.5,252.23,61.41,0.9622,0.1605,-0.4069,0.7868,-0.1701,0
73.10,1282.3,251.73,54.51,0.9708,0.1059,-0.4079,0.7453,-0.1484,0
73.20,1287.3,251.09,45.88,0.9766,0.0522,-0.4089,0.7117,-0.1158,0
73.30,1291.4,250.34,36.04,0.9796,-0.0007,-0.4101,0.6856,-0.0794,0
73.40,1294.4,249.53,25.38,0.9796,-0.0516,-0.4112,0.5142,-0.0432,0
73.50,1296.3,248.72,14.26,0.9770,-0.0990,-0.4124,0.3087,-0.0130,0
73.60,1297.1,248.03,3.01,0.9721,-0.1429,-0.4133,0.1866,0.0051,0
73.70,1296.8,247.51,-8.20,0.9654,-0.1846,-0.4139,0.1644,0.0137,0
73.80,1295.4,247.15,-19.31,0.9568,-0.2260,-0.4142,0.1248,0.0213,0
73.90,1292.9,246.93,-30.30,0.9464,-0.2670,-0.4141,0.1410,0.0284,0
74.00,1289.3,246.82,-41.15,0.9343,-0.3070,-0.4137,0.1111,0.0328,0
74.10,1284.6,246.84,-51.84,0.9207,-0.3460,-0.4131,0.1365,0.0341,0
74.20,1278.8,246.93,-62.39,0.9053,-0.3870,-0.4121,0.3282,0.0549,0
74.30,1272.0,247.06,-72.89,0.8879,-0.4277,-0.4110,0.4193,0.0827,0
74.40,1264.1,247.22,-83.29,0.8684,-0.4669,-0.4086,0.2641,0.1055,0
74.50,1255.3,247.43,-93.46,0.8492,-0.5018,-0.3544,0.1803,0.0272,0
74.60,1245.4,247.71,-103.24,0.8303,-0.5358,-0.3666,0.2591,0.0103,0
74.70,1234.5,248.00,-112.87,0.8086,-0.5733,-0.3889,0.3623,0.0873,0
74.80,1222.7,248.28,-122.40,0.7856,-0.6069,-0.3172,0.2503,0.1554,0
74.90,1210.0,248.60,-131.39,0.7658,-0.6330,-0.2610,0.2249,0.1272,0
75.00,1196.4,248.99,-139.46,0.7502,-0.6495,-0.1690,0.1100,0.3143,0
75.10,1182.1,249.46,-146.20,0.7387,-0.6593,-0.1030,0.0696,0.2456,0
75.20,1167.2,250.02,-151.67,0.7336,-0.6625,0.1431,-0.1778,0.1152,0
75.30,1151.8,250.70,-154.22,0.7866,-0.6038,0.8282,-0.7356,-1.6696,0
75.40,1136.5,251.45,-151.33,0.8536,-0.5198,1.0383,-0.5423,-1.3054,0
75.50,1121.8,252.10,-143.04,0.9055,-0.4239,1.0938,-0.1371,-0.4420,0
75.60,1108.1,252.61,-130.33,0.9432,-0.3294,1.0189,-0.0318,-0.1963,0
75.70,1095.9,252.98,-114.46,0.9701,-0.2333,1.0444,-0.2013,-0.4568,0
75.80,1085.5,253.22,-95.99,0.9846,-0.1398,0.8801,-0.0867,-0.3416,0
75.90,1076.9,253.39,-76.84,0.9948,-0.0796,0.4047,-0.0270,0.9630,0
76.00,1070.2,253.56,-59.87,0.9971,-0.0492,0.2187,-0.0217,-0.1034,0
76.10,1064.9,253.76,-45.95,0.9973,-0.0313,0.1284,-0.0124,-0.0541,0
76.20,1061.0,253.98,-34.94,0.9975,-0.0200,0.0771,-0.0086,0.0063,0
76.30,1058.0,254.20,-26.43,0.9978,-0.0126,0.0457,-0.0091,0.0465,0
76.40,1055.7,254.41,-19.92,0.9982,-0.0077,0.0256,-0.0100,0.0690,0
76.50,1054.0,254.62,-15.01,0.9987,-0.0044,0.0124,-0.0087,0.0806,0
76.60,1052.7,254.82,-11.33,0.9991,-0.0021,0.0036,-0.0066,0.0835,0
76.70,1051.7,255.02,-8.59,0.9994,-0.0005,-0.0024,-0.0047,0.0794,0
76.80,1050.9,255.21,-6.51,0.9996,0.0016,0.0008,-0.0133,0.0508,0
76.90,1050.4,255.39,-4.92,0.9997,0.0028,-0.0059,-0.0060,0.0425,0
77.00,1050.0,255.57,-3.72,0.9998,0.0036,-0.0089,-0.0034,0.0416,0
77.10,1049.6,255.74,-2.82,0.9999,0.0042,-0.0110,-0.0019,0.0388,0
77.20,1049.4,255.91,-2.15,0.9999,0.0046,-0.0124,-0.0011,0.0335,0
77.30,1049.2,256.08,-1.65,0.9999,0.0049,-0.0134,-0.0007,0.0272,0
77.40,1049.1,256.25,-1.27,1.0000,0.0051,-0.0141,-0.0004,0.0210,0
77.50,1048.9,256.41,-0.99,1.0000,0.0053,-0.0145,-0.0003,0.0157,0
77.60,1048.8,256.58,-0.79,1.0000,0.0054,-0.0149,-0.0002,0.0114,0
77.70,1048.8,256.74,-0.63,1.0000,0.0055,-0.0151,-0.0001,0.0081,0
77.80,1048.7,256.90,-0.51,1.0000,0.0056,-0.0153,-0.0001,0.0057,0
77.90,1048.7,257.07,-0.42,1.0000,0.0056,-0.0154,-0.0001,0.0039,0
78.00,1048.6,257.23,-0.35,1.0000,0.0057,-0.0155,-0.0001,0.0027,0
78.10,1048.6,257.38,-0.30,1.0000,0.0057,-0.0156,-0.0000,0.0019,0
78.20,1048.6,257.54,-0.26,1.0000,0.0058,-0.0157,-0.0000,0.0013,0
78.30,1048.5,257.70,-0.23,1.0000,0.0058,-0.0157,-0.0000,0.0009,0
78.40,1048.5,257.86,-0.20,1.0000,0.0063,0.0331,-0.0385,-0.0034,0
78.50,1048.5,258.01,0.50,0.9996,0.0260,0.2288,-0.1214,-0.1852,0
78.60,1048.7,258.15,3.17,0.9973,0.0633,0.3855,-0.1339,-0.3075,0
78.70,1049.3,258.25,8.81,0.9897,0.1253,0.6691,-0.0386,-0.2594,0
78.80,1050.6,258.27,18.23,0.9766,0.1996,0.6355,0.0343,-0.0825,0
78.90,1053.1,258.22,30.23,0.9600,0.2662,0.6079,0.0038,-0.0814,0
79.00,1056.8,258.09,43.33,0.9432,0.3190,0.4876,0.0085,-0.0624,0
79.10,1061.9,257.92,56.20,0.9272,0.3625,0.4860,0.0093,0.0145,0
79.20,1068.2,257.71,68.57,0.9104,0.4036,0.3929,0.0047,0.0614,0
79.30,1075.6,257.47,79.85,0.8996,0.4286,0.1811,-0.0019,0.0961,0
79.40,1084.1,257.23,89.08,0.8940,0.4392,0.0135,-0.5412,-0.1092,0
79.50,1093.4,256.96,95.15,0.8974,0.4107,-0.3693,-0.7452,-0.9753,0
79.60,1103.0,256.64,96.92,0.8690,0.3623,-0.3976,-0.5896,-1.9479,0
79.70,1112.7,256.23,95.05,0.8704,0.3022,-0.3975,-0.7790,0.1709,0
79.80,1121.9,255.67,89.71,0.8886,0.2381,-0.3988,-0.7657,0.2134,0
79.90,1130.5,254.96,81.70,0.9046,0.1745,-0.4004,-0.7289,0.2022,0
80.00,1138.1,254.13,71.71,0.9172,0.1119,-0.4021,-0.7005,0.1702,0
80.10,1144.7,253.21,60.30,0.9259,0.0502,-0.4038,-0.6785,0.1292,0
80.20,1150.0,252.23,47.91,0.9304,-0.0107,-0.4054,-0.6612,0.0857,0
80.30,1154.1,251.22,34.86,0.9309,-0.0707,-0.4069,-0.6474,0.0424,0
80.40,1156.9,250.20,21.42,0.9276,-0.1297,-0.4081,-0.6361,0.0004,0
80.50,1158.3,249.18,7.79,0.9204,-0.1867,-0.4095,-0.5329,-0.0385,0
80.60,1158.3,248.24,-5.78,0.9101,-0.2362,-0.4105,-0.2741,-0.0601,0
80.70,1157.0,247.50,-18.96,0.8976,-0.2788,-0.4111,-0.1619,-0.0593,0
80.80,1154.4,246.99,-31.65,0.8837,-0.3186,-0.4114,-0.1130,-0.0523,0
80.90,1150.6,246.69,-43.86,0.8685,-0.3571,-0.4112,-0.1039,-0.0469,0
81.00,1145.6,246.56,-55.64,0.8520,-0.3941,-0.4106,-0.0768,-0.0423,0
81.10,1139.4,246.59,-66.99,0.8342,-0.4297,-0.4097,-0.0635,-0.0376,0
81.20,1132.1,246.74,-77.83,0.8235,-0.4591,-0.2766,-0.0612,0.3668,0
81.30,1123.8,247.01,-87.75,0.8303,-0.4774,-0.1799,-0.0388,0.6081,0
81.40,1114.5,247.39,-96.45,0.8394,-0.4894,-0.1246,-0.0283,0.5645,0
81.50,1104.5,247.86,-103.78,0.8459,-0.4973,-0.0533,-0.0217,0.4456,0
81.60,1093.8,248.41,-108.55,0.8815,-0.4492,0.8426,0.6685,1.5132,0
81.70,1083.0,249.01,-106.79,0.9359,-0.3518,1.0598,0.5727,1.3814,0
81.80,1072.7,249.50,-98.44,0.9676,-0.2474,1.0982,0.1361,0.4758,0
81.90,1063.5,249.84,-84.90,0.9878,-0.1382,1.1050,-0.0092,0.1022,0
82.00,1056.0,250.03,-67.34,0.9968,-0.0296,0.9353,-0.0419,-0.0136,0
82.10,1050.3,250.11,-48.20,0.9981,0.0363,0.4543,-0.0017,-0.5873,0
82.20,1046.4,250.19,-30.96,0.9969,0.0704,0.2437,0.0110,0.0678,0
82.30,1044.1,250.28,-16.70,0.9951,0.0901,0.1416,0.0078,0.0551,0
82.40,1043.1,250.39,-5.39,0.9938,0.1015,0.0785,0.0177,0.0372,0
82.50,1043.0,250.51,3.34,0.9929,0.1091,0.0478,0.0106,0.0029,0
82.60,1043.7,250.62,10.00,0.9924,0.1142,0.0271,0.0101,-0.0291,0
82.70,1045.0,250.72,15.26,0.9906,0.1306,0.3379,-0.0881,-0.0861,0
82.80,1046.9,250.79,21.49,0.9825,0.1841,0.7369,-0.0361,-0.0947,0
82.90,1049.5,250.79,30.90,0.9660,0.2577,0.6579,-0.0737,-0.1079,0
83.00,1053.2,250.71,42.57,0.9465,0.3227,0.6714,-0.0983,-0.1336,0
83.10,1058.1,250.56,55.44,0.9252,0.3794,0.5424,-0.0438,0.0273,0
83.20,1064.4,250.34,68.28,0.9064,0.4224,0.3455,-0.0314,0.0070,0
83.30,1071.8,250.11,79.76,0.8950,0.4460,0.1799,-0.0126,-0.0578,0
83.40,1080.3,249.87,89.12,0.8882,0.4594,0.1057,-0.0059,-0.0535,0
83.50,1089.7,249.63,96.47,0.8838,0.4677,0.0126,-0.1159,-0.0673,0
83.60,1099.6,249.39,101.56,0.8918,0.4515,-0.3751,-0.1042,-0.1373,0
83.70,1109.9,249.17,103.06,0.8974,0.4162,-0.4123,-0.0604,-1.8549,0
83.80,1120.1,248.95,101.59,0.8762,0.3767,-0.4121,-0.4259,-0.4435,0
83.90,1130.1,248.70,97.61,0.8925,0.3245,-0.4125,-0.5132,0.1742,0
84.00,1139.5,248.42,91.53,0.9099,0.2763,-0.4136,-0.3106,0.1668,0
84.10,1148.3,248.13,84.02,0.9246,0.2321,-0.4147,-0.1465,0.1310,0
84.20,1156.2,247.87,75.65,0.9362,0.1934,-0.4156,0.0029,0.0849,0
84.30,1163.3,247.66,66.80,0.9451,0.1556,-0.4164,-0.0048,0.0495,0
84.40,1169.5,247.51,57.62,0.9516,0.1169,-0.4169,-0.0237,0.0295,0
84.50,1174.8,247.39,48.21,0.9562,0.0781,-0.4173,-0.0120,0.0178,0
84.60,1179.1,247.33,38.65,0.9589,0.0394,-0.4175,-0.0089,0.0104,0
84.70,1182.4,247.31,28.98,0.9600,0.0006,-0.4175,-0.0093,0.0060,0
84.80,1184.8,247.33,19.25,0.9593,-0.0383,-0.4174,-0.0115,0.0033,0
84.90,1186.2,247.39,9.48,0.9571,-0.0770,-0.4171,-0.0112,0.0017,0
85.00,1186.6,247.49,-0.23,0.9538,-0.1101,-0.2435,0.0571,0.0018,0
85.10,1186.1,247.66,-8.03,0.9554,-0.0901,0.2107,0.2567,0.0083,0
85.20,1185.1,247.88,-11.77,0.9577,-0.0558,0.2019,0.4056,0.0150,0
85.30,1183.8,248.09,-12.71,0.9598,-0.0368,0.1247,0.3814,0.3046,0
85.40,1182.6,248.28,-12.12,0.9821,-0.0224,-0.0391,0.1603,1.2466,0
85.50,1181.4,248.45,-11.15,0.9974,-0.0223,0.0239,0.0908,1.0791,0
85.60,1180.4,248.63,-10.09,0.9996,-0.0218,-0.0201,0.0606,0.6850,0
85.70,1179.4,248.81,-9.18,0.9975,-0.0224,-0.0171,0.0494,0.3381,0
85.80,1178.5,249.00,-8.51,0.9960,-0.0228,-0.0156,0.0368,0.0908,0
85.90,1177.7,249.19,-8.05,0.9959,-0.0228,-0.0133,0.0304,-0.0393,0
86.00,1176.9,249.38,-7.74,0.9966,-0.0228,-0.0142,0.0176,-0.1157,0
86.10,1176.1,249.58,-7.56,0.9975,-0.0228,-0.0146,0.0098,-0.1452,0
86.20,1175.4,249.78,-7.46,0.9984,-0.0228,-0.0148,0.0053,-0.1423,0
86.30,1174.6,249.98,-7.41,0.9990,-0.0227,-0.0149,0.0029,-0.1225,0
86.40,1173.9,250.18,-7.40,0.9994,-0.0227,-0.0150,0.0017,-0.0973,0
86.50,1173.2,250.39,-7.40,0.9996,-0.0226,-0.0151,0.0010,-0.0732,0
86.60,1172.4,250.60,-7.38,0.9997,-0.0209,0.0501,-0.0251,-0.0597,0
86.70,1171.7,250.80,-6.92,1.0000,-0.0052,0.3412,-0.1778,-0.1413,0
86.80,1171.1,251.00,-4.33,0.9988,0.0436,0.7464,-0.2143,-0.4360,0
86.90,1171.0,251.13,2.85,0.9882,0.1390,1.0423,-0.0744,-0.3123,0
87.00,1171.9,251.14,15.51,0.9665,0.2439,0.9861,-0.0127,-0.1059,0
87.10,1174.4,251.00,31.66,0.9405,0.3299,0.7599,0.0166,0.0408,0
87.20,1178.4,250.78,48.61,0.9180,0.3887,0.4253,-0.0082,0.0593,0
87.30,1184.1,250.54,63.80,0.9038,0.4210,0.2602,-0.0029,0.0328,0
87.40,1191.2,250.30,76.33,0.8954,0.4394,0.1705,0.0068,0.0732,0
87.50,1199.4,250.06,86.42,0.8876,0.4563,0.1196,0.0032,0.1054,0
87.60,1208.5,249.82,94.39,0.8835,0.4654,0.0686,-0.0013,0.1082,0
87.70,1218.3,249.58,100.44,0.8841,0.4654,-0.2069,0.0013,0.1141,0
87.80,1228.5,249.35,103.48,0.9004,0.4343,-0.4075,0.1146,1.6295,0
87.90,1238.9,249.12,103.07,0.9059,0.3954,-0.4127,0.5428,0.0965,0
88.00,1249.0,248.88,99.90,0.9229,0.3476,-0.4136,0.7730,-0.1971,0
88.10,1258.7,248.55,94.47,0.9395,0.2981,-0.4146,0.7550,-0.2251,0
88.20,1267.8,248.11,87.31,0.9542,0.2489,-0.4158,0.6586,-0.2185,0
88.30,1276.1,247.60,78.88,0.9665,0.2027,-0.4170,0.3492,-0.1823,0
88.40,1283.5,247.10,69.67,0.9761,0.1599,-0.4182,0.1570,-0.1297,0
88.50,1289.9,246.69,59.99,0.9832,0.1184,-0.4193,0.1066,-0.0848,0
88.60,1295.4,246.37,50.04,0.9880,0.0767,-0.4201,0.1401,-0.0551,0
88.70,1299.8,246.12,39.90,0.9909,0.0346,-0.4206,0.1296,-0.0363,0
88.80,1303.3,245.93,29.65,0.9918,-0.0071,-0.4209,0.0916,-0.0226,0
88.90,1305.7,245.82,19.33,0.9908,-0.0489,-0.4211,0.1449,-0.0125,0
89.00,1307.1,245.76,8.95,0.9880,-0.0916,-0.4210,0.1939,-0.0026,0
89.10,1307.4,245.74,-1.47,0.9834,-0.1336,-0.4207,0.1293,0.0055,0
89.20,1306.7,245.78,-11.88,0.9771,-0.1746,-0.4203,0.0838,0.0095,0
89.30,1304.9,245.87,-22.23,0.9694,-0.2131,-0.3021,-0.0475,0.0105,0
89.40,1302.2,246.07,-31.24,0.9677,-0.2166,-0.1102,-0.4081,-0.0148,0
89.50,1298.7,246.36,-38.69,0.9610,-0.2428,-0.4082,-0.1822,-0.0381,0
89.60,1294.4,246.68,-46.54,0.9511,-0.2794,-0.4171,-0.0936,-0.0384,0
89.70,1289.3,247.03,-54.86,0.9396,-0.3165,-0.4161,-0.0537,-0.0325,0
89.80,1283.3,247.40,-63.51,0.9266,-0.3533,-0.4148,-0.0334,-0.0259,0
89.90,1276.5,247.80,-72.37,0.9120,-0.3897,-0.4134,-0.0220,-0.0202,0
90.00,1268.8,248.24,-81.34,0.8960,-0.4254,-0.4118,-0.0150,-0.0158,0
90.10,1260.1,248.70,-90.35,0.8786,-0.4604,-0.4101,-0.0105,-0.0124,0
